"?필수?교양?교과목(광운인되기,영어)?강의시간표",,,,,,,,,
2024학년도 2학기,,,,,,,,,
0000-1-5899-02,과학기술윤리,,,교선,3,3,박지희,"금5,6",
0000-1-0221-01,과학철학의이해,,,교선,3,3,우호용,"금3,4",
0000-1-3925-01,나의역사,,,교선,3,3,김희교,"금1,2",
0000-1-8085-01,논리적으로사고하기,,,교선,3,3,김정아,"화7,8,9",
0000-1-8085-02,논리적으로사고하기,,,교선,3,3,황순호,"금3,4",
0000-1-8085-03,논리적으로사고하기,,,교선,3,3,오지호,"금1,2",
0000-1-5224-01,동서양신화읽기와변용,,,교선,3,3,고경주,"금1,2",
0000-1-4356-01,동서양의예술과미학,,,교선,3,3,도승연,,"원격수업100,대학간 공동 원격수 업"
0000-1-4831-01,동양사상으로보는건축이야기,,,교선,3,3,김승제,"금1,2",
0000-1-3919-01,동양의역사,,,교선,3,3,,"화1,목2",
0000-1-5659-01,세계화시대의역사보기,,,교선,3,3,김인호,"월2,수1",
0000-1-4412-01,심층탐구인간과세계의이해,,,교선,1,1,노정진,수5,
0000-1-4413-01,영화로읽는문학,,,교선,3,3,노진서,"화6,목5",
0000-1-5660-01,유럽의과거와현재,,,교선,3,3,김동조,"목7,8,9",
0000-1-5660-02,유럽의과거와현재,참빛인재대학 전용,,교선,3,3,윤희두,"토3,4",
0000-1-2959-01,인간존재의이해,,,교선,3,3,이지영,"목7,8,9",
0000-1-2959-02,인간존재의이해,참빛인재대학 전용,,교선,3,3,박은미,"토3,4",
0000-1-5661-01,인문교양세미나,1학년만 수강가능,,교선,3,3,김정권,"월7,8,9","소규모강의,세미나강의"
0000-1-5661-02,인문교양세미나,1학년만 수강가능,,교선,3,3,김인호,"월5,6","소규모강의,세미나강의"
0000-1-4830-01,인성과리더십,,,교선,2,2,이종익,"수5,6",
0000-1-5655-01,현대사회와윤리,,,교선,3,3,김영인,"금1,2",
* 참빛인재대학 전용 과목은 재직자전형 대상 분반임.,,,,,,,,,
2024학년도 2학기,,,,,,,,,
